"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage,,,,,,,,
"[17, 257, 4369, 4096, 25163, 11617, 1891]",4369,4096,25163,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25171, 2919, 475]",4369,4096,25171,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25183, 15143, 2463]",4369,4096,25183,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25219, 19179, 3115]",4369,4096,25219,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25243, 5639, 915]",4369,4096,25243,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25247, 14787, 2399]",4369,4096,25247,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25303, 1427, 231]",4369,4096,25303,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25307, 14748, 2387]",4369,4096,25307,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25339, 12985, 2099]",4369,4096,25339,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25343, 20585, 3327]",4369,4096,25343,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25367, 7376, 1191]",4369,4096,25367,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25391, 6044, 975]",4369,4096,25391,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25411, 2252, 363]",4369,4096,25411,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25423, 5853, 943]",4369,4096,25423,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25439, 13707, 2207]",4369,4096,25439,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25447, 13264, 2135]",4369,4096,25447,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25463, 9990, 1607]",4369,4096,25463,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25471, 19893, 3199]",4369,4096,25471,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25523, 5552, 891]",4369,4096,25523,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25579, 20402, 3267]",4369,4096,25579,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25583, 17682, 2831]",4369,4096,25583,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25603, 10670, 1707]",4369,4096,25603,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25639, 18572, 2967]",4369,4096,25639,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25643, 16847, 2691]",4369,4096,25643,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25667, 13504, 2155]",4369,4096,25667,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25679, 4307, 687]",4369,4096,25679,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25703, 11791, 1879]",4369,4096,25703,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25747, 15457, 2459]",4369,4096,25747,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25759, 11867, 1887]",4369,4096,25759,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25763, 24222, 3851]",4369,4096,25763,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25771, 9683, 1539]",4369,4096,25771,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25799, 20905, 3319]",4369,4096,25799,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25819, 11819, 1875]",4369,4096,25819,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25847, 20641, 3271]",4369,4096,25847,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25867, 23663, 3747]",4369,4096,25867,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25903, 2928, 463]",4369,4096,25903,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25919, 17408, 2751]",4369,4096,25919,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25931, 20075, 3171]",4369,4096,25931,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25939, 11114, 1755]",4369,4096,25939,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25943, 10381, 1639]",4369,4096,25943,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25951, 10739, 1695]",4369,4096,25951,0.14,,,,,,,,
"[17, 257, 4369, 4096, 25999, 15329, 2415]",4369,4096,25999,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26003, 984, 155]",4369,4096,26003,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26083, 12704, 1995]",4369,4096,26083,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26099, 18319, 2875]",4369,4096,26099,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26107, 21537, 3379]",4369,4096,26107,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26111, 16313, 2559]",4369,4096,26111,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26119, 12594, 1975]",4369,4096,26119,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26171, 4824, 755]",4369,4096,26171,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26183, 5670, 887]",4369,4096,26183,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26203, 16089, 2515]",4369,4096,26203,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26227, 24146, 3771]",4369,4096,26227,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26251, 1865, 291]",4369,4096,26251,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26263, 15023, 2343]",4369,4096,26263,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26267, 25568, 3987]",4369,4096,26267,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26339, 24352, 3787]",4369,4096,26339,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26347, 2901, 451]",4369,4096,26347,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26371, 19231, 2987]",4369,4096,26371,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26387, 18315, 2843]",4369,4096,26387,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26399, 8037, 1247]",4369,4096,26399,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26407, 14177, 2199]",4369,4096,26407,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26423, 23991, 3719]",4369,4096,26423,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26431, 14448, 2239]",4369,4096,26431,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26459, 1363, 211]",4369,4096,26459,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26479, 12509, 1935]",4369,4096,26479,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26539, 18265, 2819]",4369,4096,26539,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26591, 6849, 1055]",4369,4096,26591,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26627, 4440, 683]",4369,4096,26627,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26647, 26068, 4007]",4369,4096,26647,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26683, 1583, 243]",4369,4096,26683,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26687, 12920, 1983]",4369,4096,26687,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26699, 2314, 355]",4369,4096,26699,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26711, 5680, 871]",4369,4096,26711,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26723, 15521, 2379]",4369,4096,26723,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26731, 7120, 1091]",4369,4096,26731,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26759, 22101, 3383]",4369,4096,26759,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26783, 5643, 863]",4369,4096,26783,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26839, 18288, 2791]",4369,4096,26839,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26863, 10172, 1551]",4369,4096,26863,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26879, 11753, 1791]",4369,4096,26879,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26891, 17877, 2723]",4369,4096,26891,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26903, 24637, 3751]",4369,4096,26903,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26927, 23239, 3535]",4369,4096,26927,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26947, 19230, 2923]",4369,4096,26947,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26951, 783, 119]",4369,4096,26951,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26959, 23056, 3503]",4369,4096,26959,0.14,,,,,,,,
"[17, 257, 4369, 4096, 26987, 18995, 2883]",4369,4096,26987,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27011, 22230, 3371]",4369,4096,27011,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27031, 10394, 1575]",4369,4096,27031,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27043, 3453, 523]",4369,4096,27043,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27059, 22798, 3451]",4369,4096,27059,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27067, 5835, 883]",4369,4096,27067,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27091, 10761, 1627]",4369,4096,27091,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27103, 3593, 543]",4369,4096,27103,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27107, 6426, 971]",4369,4096,27107,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27127, 13186, 1991]",4369,4096,27127,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27143, 6302, 951]",4369,4096,27143,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27179, 7664, 1155]",4369,4096,27179,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27191, 19590, 2951]",4369,4096,27191,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27211, 26168, 3939]",4369,4096,27211,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27239, 2281, 343]",4369,4096,27239,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27259, 8006, 1203]",4369,4096,27259,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27271, 19115, 2871]",4369,4096,27271,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27283, 6148, 923]",4369,4096,27283,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27299, 15429, 2315]",4369,4096,27299,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27367, 15120, 2263]",4369,4096,27367,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27407, 6738, 1007]",4369,4096,27407,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27427, 21501, 3211]",4369,4096,27427,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27431, 7869, 1175]",4369,4096,27431,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27479, 691, 103]",4369,4096,27479,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27487, 1067, 159]",4369,4096,27487,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27527, 17574, 2615]",4369,4096,27527,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27539, 18254, 2715]",4369,4096,27539,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27551, 639, 95]",4369,4096,27551,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27583, 7320, 1087]",4369,4096,27583,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27611, 14365, 2131]",4369,4096,27611,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27631, 5282, 783]",4369,4096,27631,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27647, 6905, 1023]",4369,4096,27647,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27691, 4347, 643]",4369,4096,27691,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27739, 6630, 979]",4369,4096,27739,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27743, 27086, 3999]",4369,4096,27743,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27751, 26606, 3927]",4369,4096,27751,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27763, 15149, 2235]",4369,4096,27763,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27767, 23042, 3399]",4369,4096,27767,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27779, 3764, 555]",4369,4096,27779,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27791, 4227, 623]",4369,4096,27791,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27799, 5477, 807]",4369,4096,27799,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27803, 16637, 2451]",4369,4096,27803,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27823, 17926, 2639]",4369,4096,27823,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27827, 4314, 635]",4369,4096,27827,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27847, 8641, 1271]",4369,4096,27847,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27851, 15469, 2275]",4369,4096,27851,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27883, 20497, 3011]",4369,4096,27883,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27919, 3374, 495]",4369,4096,27919,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27943, 4523, 663]",4369,4096,27943,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27947, 16614, 2435]",4369,4096,27947,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27967, 4800, 703]",4369,4096,27967,0.14,,,,,,,,
"[17, 257, 4369, 4096, 27983, 16936, 2479]",4369,4096,27983,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28019, 27547, 4027]",4369,4096,28019,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28027, 16990, 2483]",4369,4096,28027,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28031, 4373, 639]",4369,4096,28031,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28051, 15087, 2203]",4369,4096,28051,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28087, 48, 7]",4369,4096,28087,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28099, 19174, 2795]",4369,4096,28099,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28111, 16135, 2351]",4369,4096,28111,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28123, 11116, 1619]",4369,4096,28123,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28151, 6646, 967]",4369,4096,28151,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28163, 22298, 3243]",4369,4096,28163,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28183, 17002, 2471]",4369,4096,28183,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28211, 22887, 3323]",4369,4096,28211,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28219, 19311, 2803]",4369,4096,28219,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28279, 19932, 2887]",4369,4096,28279,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28283, 1236, 179]",4369,4096,28283,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28307, 27609, 3995]",4369,4096,28307,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28319, 23666, 3423]",4369,4096,28319,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28351, 2208, 319]",4369,4096,28351,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28387, 12052, 1739]",4369,4096,28387,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28403, 18161, 2619]",4369,4096,28403,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28411, 21662, 3123]",4369,4096,28411,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28439, 15379, 2215]",4369,4096,28439,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28447, 22884, 3295]",4369,4096,28447,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28463, 13891, 1999]",4369,4096,28463,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28499, 22898, 3291]",4369,4096,28499,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28547, 12789, 1835]",4369,4096,28547,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28559, 27548, 3951]",4369,4096,28559,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28571, 26025, 3731]",4369,4096,28571,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28579, 21511, 3083]",4369,4096,28579,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28591, 13060, 1871]",4369,4096,28591,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28603, 24043, 3443]",4369,4096,28603,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28607, 440, 63]",4369,4096,28607,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28619, 24839, 3555]",4369,4096,28619,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28627, 636, 91]",4369,4096,28627,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28631, 6983, 999]",4369,4096,28631,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28643, 24692, 3531]",4369,4096,28643,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28663, 3184, 455]",4369,4096,28663,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28687, 26775, 3823]",4369,4096,28687,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28703, 21296, 3039]",4369,4096,28703,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28711, 27975, 3991]",4369,4096,28711,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28723, 19712, 2811]",4369,4096,28723,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28751, 12010, 1711]",4369,4096,28751,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28759, 20495, 2919]",4369,4096,28759,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28771, 2325, 331]",4369,4096,28771,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28807, 9389, 1335]",4369,4096,28807,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28843, 18048, 2563]",4369,4096,28843,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28859, 8025, 1139]",4369,4096,28859,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28867, 28719, 4075]",4369,4096,28867,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28871, 1741, 247]",4369,4096,28871,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28879, 11161, 1583]",4369,4096,28879,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28927, 27112, 3839]",4369,4096,28927,0.14,,,,,,,,
"[17, 257, 4369, 4096, 28979, 3587, 507]",4369,4096,28979,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29023, 19266, 2719]",4369,4096,29023,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29027, 15045, 2123]",4369,4096,29027,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29059, 9386, 1323]",4369,4096,29059,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29063, 7656, 1079]",4369,4096,29063,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29123, 12592, 1771]",4369,4096,29123,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29131, 21642, 3043]",4369,4096,29131,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29147, 4234, 595]",4369,4096,29147,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29167, 23805, 3343]",4369,4096,29167,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29179, 2187, 307]",4369,4096,29179,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29191, 21373, 2999]",4369,4096,29191,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29207, 10318, 1447]",4369,4096,29207,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29231, 8785, 1231]",4369,4096,29231,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29243, 12701, 1779]",4369,4096,29243,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29251, 19046, 2667]",4369,4096,29251,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29287, 17096, 2391]",4369,4096,29287,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29303, 13328, 1863]",4369,4096,29303,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29311, 24724, 3455]",4369,4096,29311,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29327, 22790, 3183]",4369,4096,29327,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29339, 6554, 915]",4369,4096,29339,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29347, 1913, 267]",4369,4096,29347,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29363, 22904, 3195]",4369,4096,29363,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29383, 27482, 3831]",4369,4096,29383,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29387, 5302, 739]",4369,4096,29387,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29399, 1658, 231]",4369,4096,29399,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29411, 5134, 715]",4369,4096,29411,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29423, 22175, 3087]",4369,4096,29423,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29443, 28832, 4011]",4369,4096,29443,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29483, 6471, 899]",4369,4096,29483,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29527, 15506, 2151]",4369,4096,29527,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29531, 8904, 1235]",4369,4096,29531,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29567, 23092, 3199]",4369,4096,29567,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29587, 4818, 667]",4369,4096,29587,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29599, 15486, 2143]",4369,4096,29599,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29611, 27782, 3843]",4369,4096,29611,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29663, 15056, 2079]",4369,4096,29663,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29671, 29374, 4055]",4369,4096,29671,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29683, 24545, 3387]",4369,4096,29683,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29723, 11284, 1555]",4369,4096,29723,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29759, 21847, 3007]",4369,4096,29759,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29803, 15389, 2115]",4369,4096,29803,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29819, 19940, 2739]",4369,4096,29819,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29851, 2937, 403]",4369,4096,29851,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29863, 5767, 791]",4369,4096,29863,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29867, 11222, 1539]",4369,4096,29867,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29879, 16858, 2311]",4369,4096,29879,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29927, 27757, 3799]",4369,4096,29927,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29947, 11603, 1587]",4369,4096,29947,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29959, 16318, 2231]",4369,4096,29959,0.14,,,,,,,,
"[17, 257, 4369, 4096, 29983, 12876, 1759]",4369,4096,29983,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30011, 22413, 3059]",4369,4096,30011,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30047, 12434, 1695]",4369,4096,30047,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30059, 28672, 3907]",4369,4096,30059,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30071, 8039, 1095]",4369,4096,30071,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30091, 19064, 2595]",4369,4096,30091,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30103, 19101, 2599]",4369,4096,30103,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30119, 3934, 535]",4369,4096,30119,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30139, 14032, 1907]",4369,4096,30139,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30187, 20304, 2755]",4369,4096,30187,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30203, 24916, 3379]",4369,4096,30203,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30211, 8814, 1195]",4369,4096,30211,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30223, 16875, 2287]",4369,4096,30223,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30259, 9419, 1275]",4369,4096,30259,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30271, 18439, 2495]",4369,4096,30271,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30307, 21391, 2891]",4369,4096,30307,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30319, 16218, 2191]",4369,4096,30319,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30323, 27917, 3771]",4369,4096,30323,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30347, 2156, 291]",4369,4096,30347,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30367, 10194, 1375]",4369,4096,30367,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30391, 13348, 1799]",4369,4096,30391,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30403, 18846, 2539]",4369,4096,30403,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30427, 10125, 1363]",4369,4096,30427,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30431, 9740, 1311]",4369,4096,30431,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30467, 22218, 2987]",4369,4096,30467,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30491, 21104, 2835]",4369,4096,30491,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30539, 19825, 2659]",4369,4096,30539,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30559, 8826, 1183]",4369,4096,30559,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30631, 172, 23]",4369,4096,30631,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30643, 29648, 3963]",4369,4096,30643,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30671, 29106, 3887]",4369,4096,30671,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30703, 13545, 1807]",4369,4096,30703,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30707, 17715, 2363]",4369,4096,30707,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30727, 10975, 1463]",4369,4096,30727,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30763, 12520, 1667]",4369,4096,30763,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30803, 22824, 3035]",4369,4096,30803,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30839, 2462, 327]",4369,4096,30839,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30851, 11893, 1579]",4369,4096,30851,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30859, 29194, 3875]",4369,4096,30859,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30871, 13800, 1831]",4369,4096,30871,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30911, 13999, 1855]",4369,4096,30911,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30931, 29685, 3931]",4369,4096,30931,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30971, 4257, 563]",4369,4096,30971,0.14,,,,,,,,
"[17, 257, 4369, 4096, 30983, 9130, 1207]",4369,4096,30983,0.14,,,,,,,,
"[17, 257, 4369, 4096, 31019, 26195, 3459]",4369,4096,31019,0.14,,,,,,,,
"[17, 257, 4369, 4096, 31039, 13087, 1727]",4369,4096,31039,0.14,,,,,,,,
"[17, 257, 4369, 4096, 31051, 16276, 2147]",4369,4096,31051,0.14,,,,,,,,
"[17, 257, 4369, 4096, 31063, 4664, 615]",4369,4096,31063,0.14,,,,,,,,
